Time,Tissue Displacement,Pressure,Temperature,Piston Displacement,Opening Diameter,Battery Voltage,Charging,deformation,pressureApplied,IAP,stress,force,strain,elasticity
3953118,38,100.28,24.32,0,60,0.08,Unplugged,0,-0.48,0.48,3.44,1215.03,0,inf|
3953162,34,100.28,24.32,0,60,0.08,Unplugged,4,-0.48,0.56,4.11,1453.75,66.67,0.06|
3953204,37,100.28,24.32,0,60,0.08,Unplugged,1,-0.48,1.15,8.9,3146.02,16.67,0.53|
3953247,36,100.28,24.32,0,60,0.07,Unplugged,2,-0.48,0.68,5.05,1784.48,33.33,0.15|
3953289,36,100.28,24.32,0,60,0.08,Unplugged,2,-0.48,0.68,5.05,1784.65,33.33,0.15|
3953331,36,100.28,24.32,0,60,0.08,Unplugged,2,-0.48,0.68,5.06,1788.66,33.33,0.15|
3953374,37,100.28,24.32,0,60,0.06,Unplugged,1,-0.48,1.15,8.91,3152.43,16.67,0.53|
3953416,37,100.28,24.31,0,60,0.08,Unplugged,1,-0.48,1.15,8.91,3151.43,16.67,0.53|
3953458,35,100.28,24.31,0,60,0.08,Unplugged,3,-0.48,0.6,4.39,1551.75,50,0.09|
3953501,37,100.28,24.31,0,60,0.08,Unplugged,1,-0.48,1.15,8.89,3145.37,16.67,0.53|
3953543,36,100.28,24.31,0,60,0.08,Unplugged,2,-0.48,0.68,5.05,1785.07,33.33,0.15|
3953586,37,100.28,24.31,0,60,0.08,Unplugged,1,-0.48,1.15,8.9,3146.27,16.67,0.53|
3953628,36,100.28,24.31,0,60,0.08,Unplugged,2,-0.48,0.67,5.04,1781.52,33.33,0.15|
3953671,37,100.28,24.31,0,60,0.07,Unplugged,1,-0.48,1.14,8.88,3138.91,16.67,0.53|
3953713,38,100.28,24.31,0,60,0.08,Unplugged,0,-0.48,0.48,3.44,1215.1,0,inf|
3953756,38,100.28,24.31,0,60,0.08,Unplugged,0,-0.48,0.48,3.43,1212.37,0,inf|
3953798,39,100.28,24.31,0,60,0.08,Unplugged,-1,-0.48,0.3,1.99,704.71,-16.67,-0.12|
